r_def,loc,mun,est,est_d,ageb,t_loc,cd_a,ent,con,upm,d_sem,n_pro_viv,v_sel,n_hog,h_mud,n_ent,per,n_ren,c_res,par_c,sex,eda,nac_dia,nac_mes,nac_anio,l_nac_c,cs_p12,cs_p13_1,cs_p13_2,cs_p14_c,cs_p15,cs_p16,cs_p17,n_hij,e_con,cs_ad_mot,cs_p20_des,cs_ad_des,cs_nr_mot,cs_p22_des,cs_nr_ori,ur,zona,salario,fac,clase1,clase2,clase3,pos_ocu,seg_soc,rama,c_ocu11c,ing7c,dur9c,emple7c,medica5c,buscar5c,rama_est1,rama_est2,dur_est,ambito1,ambito2,tue1,tue2,tue3,busqueda,d_ant_lab,d_cexp_est,dur_des,sub_o,s_clasifi,remune2c,pre_asa,tip_con,dispo,nodispo,c_inac5c,pnea_est,niv_ins,eda5c,eda7c,eda12c,eda19c,hij5c,domestico,anios_esc,hrsocup,ingocup,ing_x_hrs,tpg_p8a,tcco,cp_anoc,imssissste,ma48me1sm,p14apoyos,scian,t_tra,emp_ppal,tue_ppal,trans_ppal,mh_fil2,mh_col,sec_ins
0,1,2,10,117,0,1,1,9,40001,900471,101,106,5,1,0,2,219,3,1,301,2,41,30,8,1977,9,1,4,3, , , ,1,2,5, , , , , , ,1,2,3080,466,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,4,2,4,6,11,2,3,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,2,10,117,0,1,1,9,40001,900471,101,106,5,1,0,2,219,5,1,409,2,6,29,8,2012,15,1,1,3, , , ,1, , , , , , , , ,1,2,3080,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,10,30,119,0,1,1,9,40002,912010,101,46,1,1,0,2,219,1,1,101,2,79,2,8,1939,14,1,3,3, , , ,2,11,4, , , , , , ,1,2,3080,1021,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,3,4,6,11,18,4,8,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,10,30,119,0,1,1,9,40002,912010,101,46,1,1,0,2,219,2,1,301,2,47,19,7,1971,9,1,7,4,5330,3,1,2,1,6, , , , , , ,1,2,3080,1021,1,1,1,1,1,3,4,2,7,7,3,4,3,5,5,3,0,1,1,0,2,0,0,0,0,0,1,1,3,0,0,0,0,4,3,4,7,12,2,3,16,50,0,0,0,3,0,1,0,0,7,1,2,2,0,3,2,2
0,1,10,30,119,0,1,1,9,40002,912010,101,46,1,1,0,2,219,3,1,409,1,15,23,6,2003,9,1,3,3, , , ,1, ,6, , , , , , ,1,2,3080,1021,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,3,1,1,1,6,0,7,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,10,30,119,0,1,1,9,40002,912010,101,69,2,1,0,2,219,1,1,101,1,47,5,2,1972,9,1,7,5,5334,3,1,2, ,3, , , , , , ,1,2,3080,1021,1,1,3,1,1,4,3,5,1,6,3,3,3,7,1,2,6,1,1,0,2,0,0,0,0,0,1,1,3,0,0,0,0,4,3,4,7,12,0,1,17,0,70000,0,1,0,0,1,0,0,8,1,2,2,0,3,2,2
0,1,10,30,119,0,1,1,9,40002,912010,101,69,2,1,0,2,219,2,1,301,1,18,11,8,2000,9,1,4,3, , , ,1, ,6, , , , , , ,1,2,3080,1021,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,4,1,1,1,6,0,6,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,10,30,119,0,1,1,9,40002,912010,101,95,3,1,0,2,219,1,1,101,2,34,14,12,1984,9,1,7,4,5332,3,1,2,0,6, , , , , , ,1,2,3080,1021,1,1,1,1,1,2,3,5,6,6,3,4,2,3,4,2,5,1,1,0,2,0,0,0,0,0,1,1,3,0,0,0,0,4,2,3,4,9,1,3,16,45,35000,180.87855,0,0,0,1,0,0,5,1,2,2,0,3,2,2
0,1,10,30,119,0,1,1,9,40002,912010,101,118,4,1,1,2,219,1,1,101,2,28,24,9,1990,9,1,7,5,5313,3,1,2,0,6, , , , , , ,1,2,3080,1021,1,1,1,1,1,4,6,5,6,6,3,4,3,8,4,2,6,2,4,1,2,0,0,0,0,0,1,1,3,0,0,0,0,4,2,2,3,8,1,2,17,45,16000,82.68734,0,0,0,1,0,0,10,1,2,2,0,3,2,7
0,1,10,30,119,0,1,1,9,40002,912010,101,18,5,1,0,2,219,2,1,201,2,31,17,11,1987,9,1,3,3, , , ,2,4,1, , , , , , ,1,2,3080,1021,1,1,1,3,2,4,5,1,3,1,1,4,3,6,3,2,2,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,9,3,3,9,21,1290,14.28571,0,0,1,4,0,0,18,2,1,1,0,1,7,8
